C2_L_cmH2O,R2_cmH2O_s_L,MPtot_min,MPtot_max,EF1_min,EF1_max,EII_min,EII_max,EII_range,EF1_range,preference_reversal_across_loading_inputs
0.065,10.0,3.9357457908363465,89.79938130353318,0.4162289043007228,0.4427196551097121,0.11456068978057592,0.1675421913985544,0.052981501617978474,0.026490750808989327,False
0.065,11.0,3.8434360390325226,87.71203741219317,0.4259329524506309,0.4551548595099519,0.08969028098009646,0.1481340950987381,0.058443814118641635,0.029221907059320984,False
0.065,12.0,3.755989015239358,85.72082924738345,0.43573341393257553,0.4672708722894917,0.06545825542101653,0.1285331721348491,0.06307491671383257,0.03153745835691618,False
0.065,13.0,3.6735898879682,83.8359187162493,0.4455102826889502,0.47902511578663864,0.04194976842672261,0.10897943462209957,0.06702966619537695,0.033514833097688435,False
0.065,14.0,3.596187846898686,82.05979356633384,0.45518438133009526,0.49039671017830966,0.019206579643380947,0.08963123733980959,0.07042465769642864,0.0352123288482144,False
0.065,15.0,3.523598296574398,80.39051177153729,0.46470350076167655,0.5013784437580157,0.002756887516031189,0.07059299847664681,0.06783611096061562,0.03667494299633911,True
0.065,16.0,3.455566032056877,78.82367485220723,0.4740336188501212,0.5119717763272723,0.007910663177434735,0.0519327622997577,0.044022099122322966,0.037938157477151124,True
0.07,4.0,4.682264498005289,105.1295645200223,0.3585055850186362,0.3648271630175863,0.27034567396482756,0.2829888299627275,0.012643155997899946,0.0063215779989500565,False
0.07,5.0,4.5928769873359006,103.93200639692053,0.3642515515309754,0.3682193949450427,0.2635612101099148,0.2714968969380493,0.007935686828134503,0.003967843414067307,False
0.07,6.0,4.485400892772901,101.92870694885781,0.36896550611225565,0.3803658125478813,0.23926837490423758,0.2620689877754887,0.022800612871251125,0.011400306435625673,False
0.07,7.0,4.370165027345187,99.5404869650888,0.3765236120173036,0.39356422906790606,0.21287154186418772,0.2469527759653929,0.03408123410120517,0.017040617050602447,False
0.07,8.0,4.253868458115691,97.01481355210805,0.38561102244546974,0.40712543018783887,0.18574913962432202,0.2287779551090604,0.043028815484738386,0.021514407742369124,False
0.07,9.0,4.1404291261935375,94.4909599890886,0.3954416264548251,0.42068078074151044,0.15863843851697934,0.20911674709034994,0.0504783085733706,0.025239154286685328,False
0.07,10.0,4.031949365697765,92.04409176026563,0.4056941770301538,0.434025924230555,0.13194815153888992,0.18861164593969226,0.056663494400802344,0.028331747200401214,False
0.07,11.0,3.929420955758942,89.71213412711316,0.4161149302074725,0.4470467352585458,0.10590652948290845,0.16777013958505502,0.06186361010214657,0.030931805051073347,False
0.07,12.0,3.833180745891592,87.51160601285211,0.4265430987493874,0.4596811468310361,0.08063770633792788,0.14691380250122524,0.06627609616329735,0.03313804808164872,False
0.07,13.0,3.743191594486706,85.44687062461331,0.43687541594400253,0.47189818202294304,0.056203635954114164,0.1262491681119949,0.07004553215788074,0.035022766078940504,False
0.07,14.0,3.6592119912579686,83.5155403392648,0.44704534323237993,0.4836858579721391,0.032628284055721796,0.10590931353524033,0.07328102947951853,0.036640514739759156,False
0.07,15.0,3.580897219007125,81.71164011837473,0.45701039756115397,0.4950439353825785,0.009912129234843168,0.08597920487769219,0.07606707564284902,0.038033537821424546,False
0.07,16.0,3.5078589734196193,80.02745788149156,0.4667441732330297,0.5059794397105829,0.0031168849733541064,0.06651165353394062,0.06339476856058651,0.03923526647755321,True
0.075,4.0,4.871754704574745,109.68005269707987,0.3451469672258717,0.34807497004683424,0.3038500599063313,0.3097060655482565,0.005856005641925233,0.002928002820962561,False
0.075,5.0,4.761009371577895,107.94368843639143,0.34964453109455845,0.3563940773318394,0.28721184533632127,0.3007109378108833,0.013499092474562047,0.006749546237280968,False
0.075,6.0,4.633022954928095,105.42809258685307,0.3559788262880962,0.3697271363957202,0.2605457272085598,0.2880423474238076,0.02749662021524779,0.013748310107624007,False
0.075,7.0,4.499473985539223,102.58823857791367,0.36481293976294515,0.38388441774577625,0.23223116450844772,0.27037412047410975,0.03814295596566203,0.019071477982831098,False
0.075,8.0,4.367342930564745,99.67638759412607,0.37485548555686443,0.3982437334425425,0.20351253311491524,0.25028902888627125,0.04677649577135601,0.02338824788567806,False
0.075,9.0,4.240393098329448,96.82605674265687,0.3855347493669138,0.4124779111564018,0.17504417768719654,0.22893050126617254,0.05388632357897599,0.026943161789488024,False
0.075,10.0,4.120431823456094,94.10383335374038,0.39650971936959084,0.42640999409055325,0.14718001181889342,0.20698056126081826,0.05980054944192484,0.029900274720962405,False
0.075,11.0,4.0081388016771955,91.53915901117159,0.40755486901302895,0.43994488612730226,0.12011022774539554,0.18489026197394193,0.06478003422854639,0.032390017114273306,False
0.075,12.0,3.9035673642111677,89.14111437363665,0.4185296074514451,0.4530342635530973,0.09393147289380553,0.16294078509710982,0.0690093122033043,0.03450465610165221,False
0.075,13.0,3.8064381686236266,86.90785330428133,0.4293454803614774,0.46565739527957106,0.06868520944085774,0.1413090392770452,0.07262382983618745,0.03631191491809366,False
0.075,14.0,3.7163085112037475,84.83191499763714,0.43994706320791105,0.4778101405120595,0.04437971897588123,0.12010587358417789,0.07572615460829665,0.03786307730414845,False
0.075,15.0,3.632668634504871,82.90321518406328,0.450300387049872,0.48949839648296883,0.021003207034062603,0.09939922590025581,0.07839601886619321,0.039198009433096814,False
0.075,16.0,3.554995476935122,81.11072007979409,0.4603856919239034,0.5007340817680306,0.0014681635360612021,0.07922861615219341,0.07776045261613221,0.0403483898441272,True
0.08,4.0,5.055417384763229,114.08337542610263,0.33333333333333326,0.3333333333333335,0.33333333333333326,0.3333333333333335,2.220446049250313e-16,2.220446049250313e-16,False
0.08,5.0,4.921871430852789,111.77301516937669,0.33680661440507936,0.3459439532742228,0.3081120934515546,0.32638677118984105,0.01827467773828645,0.009137338869143419,False
0.08,6.0,4.7727668811370085,108.73251080676451,0.3445762345830328,0.3603294994112678,0.2793410011774645,0.3108475308339342,0.03150652965646966,0.01575326482823497,False
0.08,7.0,4.620829790953021,105.44153094402341,0.35449688281950636,0.3753358474595971,0.24932830508080572,0.2910062343609871,0.04167792928018138,0.020838964640090718,False
0.08,8.0,4.473089616654763,102.15088535528103,0.3654047971865244,0.39040118328556256,0.219197633428875,0.269190405626951,0.04999277219807602,0.024996386099038148,False
0.08,9.0,4.333007779821146,98.98467838335928,0.37682944026618465,0.40523551368337835,0.1895289726332434,0.24634111946763065,0.05681214683438726,0.0284060734171937,False
0.08,10.0,4.202009912673609,95.99888482550008,0.3884381736902217,0.4196863514074843,0.16062729718503144,0.22312365261955663,0.0624963554345252,0.03124817771726257,False
0.08,11.0,4.080414623041831,93.21337056119893,0.4000308183218943,0.43367553752442334,0.13264892495115346,0.19993836335621143,0.06728943840505797,0.03364471920252904,False
0.08,12.0,3.967965081350756,90.62921826624022,0.4114847568282221,0.44716694844494,0.10566610311012017,0.1770304863435558,0.07136438323343564,0.03568219161671787,False
0.08,13.0,3.864126086780523,88.23810940070868,0.42272463160925183,0.460148930515492,0.07970213896901614,0.15455073678149636,0.07484859781248022,0.03742429890624016,False
0.08,14.0,3.7682475227289336,86.0274101776045,0.4337048001240371,0.47262428084895663,0.05475143830208699,0.13259039975192574,0.07783896144983876,0.03891948072491952,False
