C2_L_cmH2O,R2_cmH2O_s_L,PS_cmH2O,Tmus_s,EII_min,EII_max,EF1_min,EF1_max,EII_range,EF1_range
0.02,5.0,10.0,1.4,0.3148270652952812,0.3789513682505131,0.6574135326476407,0.6894756841252565,0.06412430295523192,0.03206215147761582
0.02,5.0,15.0,0.6,0.31482706529528204,0.3704310974052965,0.657413532647641,0.6852155487026483,0.05560403211001447,0.027802016055007317
0.02,5.0,15.0,1.0,0.31482706529528204,0.432089181768494,0.657413532647641,0.716044590884247,0.11726211647321194,0.05863105823660597
0.02,5.0,15.0,1.4,0.31482706529528204,0.368218700957053,0.657413532647641,0.6841093504785266,0.053391635661770964,0.026695817830885593
0.02,6.0,5.0,0.6,0.3145357442053694,0.35813497632762853,0.6572678721026847,0.6790674881638143,0.043599232122259135,0.02179961606112968
0.02,6.0,5.0,1.0,0.3145357442053694,0.44883845072814943,0.6572678721026847,0.7244192253640748,0.13430270652278004,0.0671513532613901
0.02,6.0,5.0,1.4,0.3145357442053694,0.37587974714418854,0.6572678721026847,0.6879398735720942,0.06134400293881914,0.030672001469409516
0.02,6.0,10.0,0.6,0.3145357442053694,0.35813497632762853,0.6572678721026847,0.6790674881638143,0.043599232122259135,0.02179961606112968
0.02,6.0,10.0,1.0,0.3145357442053694,0.4277397697179836,0.6572678721026847,0.7138698848589918,0.11320402551261421,0.05660201275630716
0.02,6.0,10.0,1.4,0.3145357442053694,0.3658258190590597,0.6572678721026847,0.6829129095295299,0.051290074853690304,0.025645037426845207
0.02,6.0,15.0,0.6,0.31453574420537095,0.35507969983710685,0.6572678721026856,0.6775398499185535,0.040543955631735906,0.02027197781586798
0.02,6.0,15.0,1.0,0.31453574420537095,0.4086840319835207,0.6572678721026856,0.7043420159917605,0.09414828777814976,0.04707414388907494
0.02,6.0,15.0,1.4,0.31453574420537095,0.3575913632960127,0.6572678721026856,0.6787956816480064,0.04305561909064176,0.021527809545320853
0.02,7.0,5.0,0.6,0.31451082067816083,0.3444045723147479,0.6572554103390805,0.6722022861573739,0.029893751636587085,0.014946875818293348
0.02,7.0,5.0,1.0,0.31451082067816083,0.41871205950913554,0.6572554103390805,0.7093560297545678,0.10420123883097471,0.05210061941548727
0.02,7.0,5.0,1.4,0.31451082067816083,0.3623299312777218,0.6572554103390805,0.6811649656388609,0.047819110599560954,0.02390955529978034
0.02,7.0,10.0,0.6,0.31451082067816083,0.34452060629197484,0.6572554103390805,0.6722603031459875,0.03000978561381401,0.015004892806906978
0.02,7.0,10.0,1.0,0.31451082067816083,0.40379992938566867,0.6572554103390805,0.7018999646928343,0.08928910870750784,0.04464455435375381
0.02,7.0,10.0,1.4,0.31451082067816083,0.35510454396701446,0.6572554103390805,0.6775522719835073,0.040593723288853634,0.02029686164442679
0.02,7.0,15.0,0.6,0.31451082067816155,0.34394490006393136,0.6572554103390807,0.6719724500319656,0.029434079385769807,0.014717039692884848
0.02,7.0,15.0,1.0,0.31451082067816155,0.3894340236111798,0.6572554103390807,0.69471701180559,0.07492320293301824,0.03746160146650923
0.02,7.0,15.0,1.4,0.31451082067816155,0.3488600722534412,0.6572554103390807,0.6744300361267206,0.03434925157527963,0.01717462578763984
0.02,8.0,5.0,0.6,0.3148182482658014,0.33499415861559984,0.6574091241329008,0.6674970793077999,0.02017591034979843,0.010087955174899133
0.02,8.0,5.0,1.0,0.3148182482658014,0.3950412621328247,0.6574091241329008,0.6975206310664125,0.0802230138670233,0.04011150693351173
0.02,8.0,5.0,1.4,0.3148182482658014,0.3516782801262777,0.6574091241329008,0.6758391400631389,0.03686003186047632,0.018430015930238186
0.02,8.0,10.0,0.6,0.3148182482658014,0.3361270260536304,0.6574091241329008,0.6680635130268152,0.02130877778782897,0.010654388893914457
0.02,8.0,10.0,1.0,0.3148182482658014,0.38461273308834687,0.6574091241329008,0.6923063665441735,0.06979448482254547,0.03489724241127279
0.02,8.0,10.0,1.4,0.3148182482658014,0.34658653507809034,0.6574091241329008,0.6732932675390452,0.03176828681228894,0.015884143406144413
0.02,8.0,15.0,0.6,0.3148182482658001,0.3360381304393775,0.6574091241329001,0.6680190652196888,0.021219882173577398,0.010609941086788699
0.02,8.0,15.0,1.0,0.3148182482658001,0.37385574204658534,0.6574091241329001,0.6869278710232928,0.05903749378078521,0.02951874689039269
